
2022/08/29 (17:46:53) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2022/08/29 (17:46:53) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2022/08/29 (17:46:53) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2022/08/29 (17:46:54) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2022/08/29 (17:46:54) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme

2022/08/29 (19:12:48) | ===> btop++ v.1.2.9
2022/08/29 (19:12:48) | INFO: Logger set to DEBUG
2022/08/29 (19:12:48) | DEBUG: Using locale en_US.UTF-8
2022/08/29 (19:12:48) | INFO: Running on /dev/pts/1

2022/08/29 (19:49:03) | ===> btop++ v.1.2.9
2022/08/29 (19:49:03) | INFO: Logger set to DEBUG
2022/08/29 (19:49:03) | DEBUG: Using locale en_US.UTF-8
2022/08/29 (19:49:03) | INFO: Running on /dev/pts/3
2022/08/29 (19:49:03) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme

2022/08/29 (19:49:11) | ===> btop++ v.1.2.9
2022/08/29 (19:49:11) | INFO: Logger set to DEBUG
2022/08/29 (19:49:11) | DEBUG: Using locale en_US.UTF-8
2022/08/29 (19:49:11) | INFO: Running on /dev/pts/1
2022/08/29 (19:49:11) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
